phenotype_id,fact_concept
17,ICD10:S06.329A
17,ICD10:S06.329D
17,ICD10:S06.330A
17,ICD10:S06.330D
17,ICD10:S06.330S
17,ICD10:S06.331A
17,ICD10:S06.331D
17,ICD10:S06.336A
17,ICD10:S06.339A
17,ICD10:S06.339S
17,ICD10:S06.340A
17,ICD10:S06.340D
17,ICD10:S06.340S
17,ICD10:S06.341A
17,ICD10:S06.341D
17,ICD10:S06.344A
17,ICD10:S06.345S
17,ICD10:S06.346A
17,ICD10:S06.347A
17,ICD10:S06.349A
17,ICD10:S06.349D
17,ICD10:S06.349S
17,ICD10:S06.350A
17,ICD10:S06.350D
17,ICD10:S06.350S
17,ICD10:S06.351A
17,ICD10:S06.351D
17,ICD10:S06.351S
17,ICD10:S06.352A
17,ICD10:S06.355A
17,ICD10:S06.359A
17,ICD10:S06.359D
17,ICD10:S06.360A
17,ICD10:S06.360D
17,ICD10:S06.360S
17,ICD10:S06.361A
17,ICD10:S06.361D
17,ICD10:S06.362A
17,ICD10:S06.362D
17,ICD10:S06.363A
17,ICD10:S06.366A
17,ICD10:S06.366D
17,ICD10:S06.369A
17,ICD10:S06.369D
17,ICD10:S06.369S
17,ICD10:S06.379A
17,ICD10:S06.4X0A
17,ICD10:S06.4X0D
17,ICD10:S06.4X1A
17,ICD10:S06.4X4A
17,ICD10:S06.4X4S
17,ICD10:S06.4X5A
17,ICD10:S06.4X6A
17,ICD10:S06.4X9A
17,ICD10:S06.4X9D
17,ICD10:S06.5X0A
17,ICD10:S06.5X0D
17,ICD10:S06.5X0S
17,ICD10:S06.5X1A
17,ICD10:S06.5X1D
17,ICD10:S06.5X1S
17,ICD10:S06.5X2S
17,ICD10:S06.5X4A
17,ICD10:S06.5X4D
17,ICD10:S06.5X5A
17,ICD10:S06.5X5D
17,ICD10:S06.5X6A
17,ICD10:S06.5X6S
17,ICD10:S06.5X9A
17,ICD10:S06.5X9D
17,ICD10:S06.5X9S
17,ICD10:S06.6X0A
17,ICD10:S06.6X0D
17,ICD10:S06.6X0S
17,ICD10:S06.6X1A
17,ICD10:S06.6X1D
17,ICD10:S06.6X1S
17,ICD10:S06.6X4A
17,ICD10:S06.6X4D
17,ICD10:S06.6X4S
17,ICD10:S06.6X5A
17,ICD10:S06.6X6A
17,ICD10:S06.6X6S
17,ICD10:S06.6X9A
17,ICD10:S06.6X9D
17,ICD10:S06.6X9S
17,ICD10:S06.890A
17,ICD10:S06.890D
17,ICD10:S06.890S
17,ICD10:S06.891A
17,ICD10:S06.891D
17,ICD10:S06.899A
17,ICD10:S06.899D
17,ICD10:S06.9X0A
17,ICD10:S06.9X0D
17,ICD10:S06.9X0S
17,ICD10:S06.9X1A
17,ICD10:S06.9X1D
17,ICD10:S06.9X1S
17,ICD10:S06.9X2A
17,ICD10:S06.9X2D
17,ICD10:S06.9X2S
17,ICD10:S06.9X3A
17,ICD10:S06.9X3D
17,ICD10:S06.9X4A
17,ICD10:S06.9X4D
17,ICD10:S06.9X4S
17,ICD10:S06.9X5A
17,ICD10:S06.9X5D
17,ICD10:S06.9X5S
17,ICD10:S06.9X6A
17,ICD10:S06.9X6D
17,ICD10:S06.9X6S
17,ICD10:S06.9X8A
17,ICD10:S06.9X9A
17,ICD10:S06.9X9D
17,ICD10:S06.9X9S
17,ICD9:804.23
17,ICD9:804.36
17,ICD9:804.40
17,ICD9:851.00
17,ICD9:851.01
17,ICD9:851.02
17,ICD9:851.03
17,ICD9:851.04
17,ICD9:851.05
17,ICD9:851.06
17,ICD9:851.11
17,ICD9:851.14
17,ICD9:851.15
17,ICD9:851.16
17,ICD9:851.20
17,ICD9:851.40
17,ICD9:851.41
17,ICD9:851.42
17,ICD9:851.43
17,ICD9:851.45
17,ICD9:851.46
17,ICD9:851.56
17,ICD9:851.80
17,ICD9:851.81
17,ICD9:851.82
17,ICD9:851.84
17,ICD9:851.85
17,ICD9:851.86
17,ICD9:851.89
17,ICD9:851.90
17,ICD9:851.91
17,ICD9:851.92
17,ICD9:851.95
17,ICD9:852.00
17,ICD9:852.01
17,ICD9:852.02
17,ICD9:852.03
17,ICD9:852.04
17,ICD9:852.05
17,ICD9:852.06
17,ICD9:852.09
17,ICD9:852.10
17,ICD9:852.11
17,ICD9:852.12
17,ICD9:852.16
17,ICD9:852.2
17,ICD9:852.20
17,ICD9:852.21
17,ICD9:852.22
17,ICD9:852.23
17,ICD9:852.24
17,ICD9:852.25
17,ICD9:852.26
17,ICD9:852.29
17,ICD9:852.30
17,ICD9:852.31
17,ICD9:852.32
17,ICD9:852.40
17,ICD9:852.41
17,ICD9:852.42
17,ICD9:852.43
17,ICD9:852.46
17,ICD9:852.49
17,ICD9:852.56
17,ICD9:853.00
17,ICD9:853.01
17,ICD9:853.02
17,ICD9:853.03
17,ICD9:853.04
17,ICD9:853.05
17,ICD9:853.06
17,ICD9:853.09
17,ICD9:853.10
17,ICD9:853.11
17,ICD9:853.12
17,ICD9:853.13
17,ICD9:853.16
17,ICD9:854.00
17,ICD9:854.01
17,ICD9:854.02
17,ICD9:854.03
17,ICD9:854.04
17,ICD9:854.05
17,ICD9:854.06
17,ICD9:854.09
17,ICD9:854.10
17,ICD9:854.11
17,ICD9:854.16
17,ICD9:925.1
17,ICD9:925.2
18,ICD10:R94.02
18,ICD9:794.09
19,RXNORM:103169
19,RXNORM:1100187
19,RXNORM:1190750
19,RXNORM:1191128
19,RXNORM:1191130
19,RXNORM:1191132
19,RXNORM:1308571
19,RXNORM:1359577
19,RXNORM:1360107
19,RXNORM:1360122
19,RXNORM:1429282
19,RXNORM:1429284
19,RXNORM:1602588
19,RXNORM:1602589
19,RXNORM:1602594
19,RXNORM:1602595
19,RXNORM:202321
19,RXNORM:207140
19,RXNORM:207142
19,RXNORM:207144
19,RXNORM:207175
19,RXNORM:211009
19,RXNORM:226665
19,RXNORM:226666
19,RXNORM:226667
19,RXNORM:226668
19,RXNORM:285017
19,RXNORM:602734
19,RXNORM:602736
19,RXNORM:602737
19,RXNORM:686922
19,RXNORM:725105
19,RXNORM:751302
19,RXNORM:860697
19,RXNORM:860699
19,RXNORM:860709
19,RXNORM:860711
19,RXNORM:860717
19,RXNORM:860719
19,RXNORM:860903
19,RXNORM:903845
19,RXNORM:903849
19,RXNORM:903853
19,RXNORM:903855
19,RXNORM:903859
19,RXNORM:990984
19,RXNORM:990988
19,RXNORM:997218
19,RXNORM:997222
19,RXNORM:997224
19,RXNORM:997228
19,RXNORM:997230
19,RXNORM:998584
19,RXNORM:998586
21,RXNORM:1040058
21,RXNORM:1242088
21,RXNORM:1242114
21,RXNORM:1246375
21,RXNORM:1308005
21,RXNORM:1308006
21,RXNORM:1602588
21,RXNORM:1602589
21,RXNORM:1602594
21,RXNORM:1602595
21,RXNORM:284538
21,RXNORM:540095
21,RXNORM:996563
21,RXNORM:996574
21,RXNORM:996597
21,RXNORM:996599
21,RXNORM:996605
21,RXNORM:996607
21,RXNORM:996611
21,RXNORM:996613
21,RXNORM:996617
21,RXNORM:996619
21,RXNORM:996742
21,RXNORM:996750
21,RXNORM:996754
25,ICD10:F32.8
25,ICD10:F32.81
25,ICD10:F32.89
25,ICD10:F33.2
25,ICD10:F33.3
25,ICD10:F33.40
25,ICD10:F33.8
25,ICD10:F33.9
26,ICD10:F31.0
26,ICD10:F31.10
26,ICD10:F31.11
26,ICD10:F31.12
26,ICD10:F31.13
26,ICD10:F31.2
26,ICD10:F31.30
26,ICD10:F31.31
26,ICD10:F31.32
26,ICD10:F31.4
26,ICD10:F31.5
26,ICD10:F31.60
26,ICD10:F31.61
26,ICD10:F31.62
26,ICD10:F31.63
26,ICD10:F31.64
26,ICD10:F31.70
26,ICD10:F31.71
26,ICD10:F31.72
26,ICD10:F31.73
26,ICD10:F31.74
26,ICD10:F31.75
26,ICD10:F31.76
26,ICD10:F31.77
26,ICD10:F31.78
26,ICD10:F31.81
26,ICD10:F31.89
26,ICD10:F31.9
26,ICD9:296.00
26,ICD9:296.01
26,ICD9:296.02
26,ICD9:296.03
26,ICD9:296.04
26,ICD9:296.05
26,ICD9:296.06
26,ICD9:296.40
26,ICD9:296.41
26,ICD9:296.42
26,ICD9:296.43
26,ICD9:296.44
26,ICD9:296.45
26,ICD9:296.46
26,ICD9:296.50
26,ICD9:296.51
26,ICD9:296.52
26,ICD9:296.53
26,ICD9:296.54
26,ICD9:296.55
26,ICD9:296.56
26,ICD9:296.60
26,ICD9:296.61
26,ICD9:296.62
26,ICD9:296.63
26,ICD9:296.64
26,ICD9:296.65
26,ICD9:296.66
26,ICD9:296.7
26,ICD9:296.80
26,ICD9:296.89
27,ICD10:F20.0
27,ICD10:F20.1
27,ICD10:F20.2
27,ICD10:F20.3
27,ICD10:F20.5
27,ICD10:F20.81
27,ICD10:F20.89
27,ICD10:F20.9
27,ICD10:F25.0
27,ICD10:F25.1
27,ICD10:F25.8
27,ICD10:F25.9
27,ICD9:295.00
27,ICD9:295.01
27,ICD9:295.02
27,ICD9:295.10
27,ICD9:295.12
27,ICD9:295.14
27,ICD9:295.20
27,ICD9:295.24
27,ICD9:295.30
27,ICD9:295.31
27,ICD9:295.32
27,ICD9:295.34
27,ICD9:295.35
27,ICD9:295.40
27,ICD9:295.41
27,ICD9:295.42
27,ICD9:295.43
27,ICD9:295.44
27,ICD9:295.50
27,ICD9:295.51
27,ICD9:295.52
27,ICD9:295.60
27,ICD9:295.61
27,ICD9:295.62
27,ICD9:295.64
28,ICD10:F10.10
28,ICD10:F10.11
28,ICD10:F10.120
28,ICD10:F10.121
28,ICD10:F10.129
28,ICD10:F10.14
28,ICD10:F10.151
28,ICD10:F10.159
28,ICD10:F10.180
28,ICD10:F10.182
28,ICD10:F10.188
28,ICD10:F10.19
28,ICD10:F10.20
28,ICD10:F10.21
28,ICD10:F10.220
28,ICD10:F10.221
28,ICD10:F10.229
28,ICD10:F10.230
28,ICD10:F10.231
28,ICD10:F10.232
28,ICD10:F10.239
28,ICD10:F10.24
28,ICD10:F10.251
28,ICD10:F10.259
28,ICD10:F10.26
28,ICD10:F10.27
28,ICD10:F10.280
28,ICD10:F10.281
28,ICD10:F10.288
28,ICD10:F10.29
28,ICD10:F10.920
28,ICD10:F10.921
28,ICD10:F10.929
28,ICD10:F10.94
28,ICD10:F10.950
28,ICD10:F10.951
28,ICD10:F10.959
28,ICD10:F10.96
28,ICD10:F10.97
28,ICD10:F10.982
28,ICD10:F10.988
28,ICD10:F10.99
28,ICD9:303.00
28,ICD9:303.01
28,ICD9:303.02
28,ICD9:303.03
28,ICD9:303.90
28,ICD9:303.91
28,ICD9:303.92
28,ICD9:303.93
29,ICD10:F10.10
29,ICD10:F10.11
29,ICD10:F10.120
29,ICD10:F10.121
29,ICD10:F10.129
29,ICD10:F10.14
29,ICD10:F10.151
29,ICD10:F10.159
29,ICD10:F10.180
29,ICD10:F10.182
29,ICD10:F10.188
29,ICD10:F10.19
29,ICD10:F10.20
29,ICD10:F10.21
29,ICD10:F10.220
29,ICD10:F10.221
29,ICD10:F10.229
29,ICD10:F10.230
29,ICD10:F10.231
29,ICD10:F10.232
29,ICD10:F10.239
29,ICD10:F10.24
29,ICD10:F10.251
29,ICD10:F10.259
29,ICD10:F10.26
29,ICD10:F10.27
29,ICD10:F10.280
29,ICD10:F10.281
29,ICD10:F10.288
29,ICD10:F10.29
29,ICD10:F10.920
29,ICD10:F10.921
29,ICD10:F10.929
29,ICD10:F10.94
29,ICD10:F10.950
29,ICD10:F10.951
29,ICD10:F10.959
29,ICD10:F10.96
29,ICD10:F10.97
29,ICD10:F10.982
29,ICD10:F10.988
29,ICD10:F10.99
29,ICD10:F11.10
29,ICD10:F11.11
29,ICD10:F11.129
29,ICD10:F11.14
29,ICD10:F11.151
29,ICD10:F11.188
29,ICD10:F11.20
29,ICD10:F11.21
29,ICD10:F11.220
29,ICD10:F11.222
29,ICD10:F11.229
29,ICD10:F11.23
29,ICD10:F11.24
29,ICD10:F11.259
29,ICD10:F11.282
29,ICD10:F11.29
29,ICD10:F11.90
29,ICD10:F11.920
29,ICD10:F11.921
29,ICD10:F11.929
29,ICD10:F11.94
29,ICD10:F11.982
29,ICD10:F11.988
29,ICD10:F11.99
29,ICD10:F12.10
29,ICD10:F12.11
29,ICD10:F12.20
29,ICD10:F12.21
29,ICD10:F12.90
29,ICD10:F12.920
29,ICD10:F12.929
29,ICD10:F12.950
29,ICD10:F12.988
29,ICD10:F12.99
29,ICD10:F13.10
29,ICD10:F13.11
29,ICD10:F13.20
29,ICD10:F13.21
29,ICD10:F13.230
29,ICD10:F13.231
29,ICD10:F13.232
29,ICD10:F13.239
29,ICD10:F13.921
29,ICD10:F13.929
29,ICD10:F14.10
29,ICD10:F14.11
29,ICD10:F14.180
29,ICD10:F14.188
29,ICD10:F14.19
29,ICD10:F14.20
29,ICD10:F14.21
29,ICD10:F14.220
29,ICD10:F14.24
29,ICD10:F14.90
29,ICD10:F14.920
29,ICD10:F14.921
29,ICD10:F14.922
